 #Channel	Pedestal	Noise
     113	530.964910	7.357400
     114	527.121810	9.847875
     115	529.990410	9.953117
     116	533.416320	10.024757
     117	531.739380	10.133110
     118	537.265530	10.190831
     119	535.581860	10.047677
     120	529.282220	10.196810
     121	529.769600	10.198924
     122	528.265890	10.178932
     123	525.289980	10.051239
     124	529.536940	9.966119
     125	528.395450	10.157855
     126	524.300890	10.118869
     127	531.630130	9.856601
     128	500.898640	76.637557
     129	504.731430	77.757882
     130	503.884470	77.744656
     131	499.987860	78.086694
     132	499.160320	78.026187
     133	501.925290	78.531124
     134	504.851880	78.516409
     135	500.217640	78.495011
     136	502.218230	78.639798
     137	502.479380	78.848902
     138	500.751830	78.694949
     139	503.227090	78.660429
     140	500.695480	79.253033
     141	501.382150	79.091394
     142	500.274800	79.486162
     143	500.696700	79.388501
     144	497.718820	79.581752
     145	498.295030	79.691613
     146	498.647920	79.497443
     147	502.420200	79.652606
     148	502.785500	79.961867
     149	498.922200	79.824372
     150	499.906020	80.147114
     151	502.571450	80.205738
     152	499.862430	80.303455
     153	501.758090	80.522925
     154	501.078720	80.323469
     155	501.854550	80.564940
     156	496.966110	81.012099
     157	496.984510	80.971337
     158	497.915560	81.035602
     159	495.014900	81.004939
     160	496.370880	81.720064
     161	496.784680	81.811912
     162	500.918010	93.853276
     163	503.146310	223.229651
     164	503.628440	224.012172
     165	504.819220	219.784503
     166	495.015670	214.740108
     167	499.057290	213.976961
     168	500.088640	211.676795
     169	499.636480	212.488161
     170	502.200480	211.604485
     171	498.665370	212.816965
     172	496.615930	211.642876
     173	499.884780	212.176981
     174	502.001130	212.178029
     175	498.294240	212.562850
     176	502.816490	211.884448
     177	501.635700	212.301605
     178	507.423470	211.498355
     179	498.791260	211.984576
     180	502.928750	211.243942
     181	501.663990	212.275378
     182	503.694930	211.090265
     183	501.214140	211.878736
     184	505.388870	210.906199
     185	505.846870	211.615583
     186	503.044050	210.984258
     187	505.915990	211.991101
     188	508.341590	210.551991
     189	507.428660	211.829388
     190	504.320310	211.102072
     191	503.019890	211.836440
     192	509.542840	210.510482
     193	506.143480	212.222298
     194	505.313760	210.435727
     195	512.734200	212.031963
     196	507.436820	211.033092
     197	504.912420	212.267337
     198	510.176970	210.373484
     199	508.261680	212.016356
     200	509.734520	210.459178
     201	510.284500	212.005834
     202	506.581990	210.361856
     203	510.315760	211.364849
     204	509.265650	210.326563
     205	508.912960	211.723972
     206	509.231110	210.656303
     207	512.736960	211.752797
     208	507.420800	210.067799
     209	510.818610	211.520785
     210	510.024390	210.220444
     211	506.023990	211.122504
     212	510.250540	209.472958
     213	511.836410	211.220111
     214	510.416430	210.289901
     215	510.614820	211.222106
     216	512.361200	209.903623
     217	507.128920	211.016687
     218	510.439070	210.147321
     219	515.066300	211.332405
     220	514.875950	209.377591
     221	517.013590	211.063375
     222	514.271770	210.066668
     223	511.755110	210.628926
     224	514.077630	209.987996
     225	516.702740	210.354541
     226	514.325870	209.172290
     227	515.272940	210.366206
     228	519.703540	208.985716
     229	520.599540	210.411605
     230	519.325890	209.422200
     231	519.620140	210.324158
     232	516.339000	209.281554
     233	518.897250	210.458811
     234	520.774620	209.894454
     235	515.191640	211.308758
     236	526.270800	210.925053
     237	528.370550	225.214171
     238	527.668350	282.476539
     239	526.897180	222.046333
     240	527.782470	207.934671
     241	526.843200	75.985268
     242	526.756970	84.111257
     243	523.639670	84.998162
     244	526.235530	85.200370
     245	529.810680	84.964267
     246	529.612400	84.912808
     247	530.653300	85.212866
     248	524.348820	85.411387
     249	526.264080	85.237063
     250	531.636570	84.998987
     251	528.385120	85.426098
     252	525.781420	85.514152
     253	527.207760	85.717495
     254	530.302840	85.382497
     255	523.363010	85.572253
